PLANT_NAME,ZONE,FUEL_TYPE,BUS,PMAX,PMIN,COST,FUEL_COST_NAME,GEN_ID,PG
LFG_S_VACA,S_VACA,LFG,0,0.8,0,0.0,,GEN_3631,0
LFG_PJM_West,PJM_West,LFG,0,0.8,0,0.0,,GEN_3632,0
LFG_PJM_West,PJM_West,LFG,0,0.8,0,0.0,,GEN_3633,0
LFG_PJM_West,PJM_West,LFG,0,0.8,0,0.0,,GEN_3634,0
LFG_PJM_West,PJM_West,LFG,0,0.8,0,0.0,,GEN_3635,0
LFG_PJM_West,PJM_West,LFG,0,0.8,0,0.0,,GEN_3636,0
LFG_PJM_West,PJM_West,LFG,0,0.8,0,0.0,,GEN_3637,0
LFG_PJM_West,PJM_West,LFG,0,0.8,0,0.0,,GEN_3638,0
WND_PJM_EMAC,PJM_EMAC,WND,0,0.0,0,0.0,,GEN_3639,0
WND_MIS_INKY,MIS_INKY,WND,0,0.0,0,0.0,,GEN_3640,0
WND_PJM_EMAC,PJM_EMAC,WND,0,0.0,0,0.0,,GEN_3641,0
SUN_PJM_COMD,PJM_COMD,SUN,0,9.0,0,0.0,,GEN_3642,0
DFO_S_VACA,S_VACA,DFO,0,1.8,0,0.0,,GEN_3643,0
SUN_S_VACA,S_VACA,SUN,0,0.9,0,0.0,,GEN_3644,0
SUN_PJM_West,PJM_West,SUN,0,10.0,0,0.0,,GEN_3645,0
SUN_PJM_WMAC,PJM_WMAC,SUN,0,1.0,0,0.0,,GEN_3646,0
SUN_PJM_WMAC,PJM_WMAC,SUN,0,1.0,0,0.0,,GEN_3647,0
SUN_PJM_WMAC,PJM_WMAC,SUN,0,0.8,0,0.0,,GEN_3648,0
WND_PJM_AP,PJM_AP,WND,0,0.0,0,0.0,,GEN_3649,0
WND_PJM_AP,PJM_AP,WND,0,0.0,0,0.0,,GEN_3650,0
LFG_PJM_ATSI,PJM_ATSI,LFG,0,1.6,0,0.0,,GEN_3651,0
LFG_PJM_ATSI,PJM_ATSI,LFG,0,0.8,0,0.0,,GEN_3652,0
LFG_MIS_INKY,MIS_INKY,LFG,0,0.8,0,0.0,,GEN_3653,0
