GEN_ID,PLANT_NAME,PLANT_TYPE,FUEL_TYPE,ZONE,BUS,PG,PMAX,PMIN,COST
65623_G_CDRCK,Cedar Creek,Solar PV,Solar,PJM_EMAC,0,0,1.6,0,0.0
6565_G_1A,Berlin,Combustion Turbine,Distillate Fuel Oil,PJM_EMAC,0,0,1.1,0,21.5
6565_G_5A,Berlin,Combustion Turbine,Distillate Fuel Oil,PJM_EMAC,0,0,2.5,0,21.5
6565_G_8A,Berlin,Combustion Turbine,Natural Gas,PJM_EMAC,0,0,2.0,0,2.55
65658_G_DLSSP,DRPA Lindenwold Station Solar Project,Solar PV,Solar,PJM_EMAC,0,0,6.0,0,0.0
65665_G_HEPU1,Hecate Energy Pulaski 1,Solar PV,Solar,PJM_West,0,0,150.0,0,0.0
65671_G_CATTL,Cattail (CSG),Solar PV,Solar,PJM_COMD,0,0,2.0,0,0.0
65691_G_TRUMB,KSU Trumbull,Solar PV,Solar,PJM_ATSI,0,0,1.0,0,0.0
65705_G_CANOE,Canoe Brook Solar,Solar PV,Solar,PJM_EMAC,0,0,6.3,0,0.0
65731_G_29197,Rockford CS 1,Solar PV,Solar,PJM_COMD,0,0,2.0,0,0.0
65732_G_29198,Rockford CS 2,Solar PV,Solar,PJM_COMD,0,0,2.0,0,0.0
65741_G_SRW2,"Sandy Ridge Wind 2, LLC",Onshore Wind,Wind,PJM_PENE,0,0,87.6,0,0.0
65758_G_AHERN,"Ahern Community Solar I, LLC",Solar PV,Solar,PJM_COMD,0,0,2.0,0,0.0
65774_G_18031,Alden Road Harvard Solar 1,Solar PV,Solar,PJM_COMD,0,0,2.0,0,0.0
65791_G_BHEN1,Blue Hen Solar,Solar PV,Solar,PJM_EMAC,0,0,1.5,0,0.0
65796_G_BAIL1,SV CSG Baileyville 1 LLC,Solar PV,Solar,PJM_COMD,0,0,1.6,0,0.0
65799_G_DKLB1,SV CSG South Dekalb 1 LLC,Solar PV,Solar,PJM_COMD,0,0,2.0,0,0.0
65800_G_DKLB2,SV CSG South Dekalb 2 LLC,Solar PV,Solar,PJM_COMD,0,0,1.6,0,0.0
65890_G_BAIL2,SV CSG Baileyville 2 LLC,Solar PV,Solar,PJM_COMD,0,0,1.6,0,0.0
65896_G_GUCS1,Gallaudet Uni Community Solar,Solar PV,Solar,PJM_SMAC,0,0,2.6,0,0.0
