Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit
Rockville 1 & 2,56692_G_2U,56692,G,2U,,Combustion Turbine,IC Engine,PJM_Dom,Virginia,51,Goochland,75,51075,0.3,11663,2000,2023,,,N,Distillate Fuel Oil,,,,,,,,,,,,,,1.90812,1.90812,1.90812,1.90812,,,,,,,,,,,
Mickleton Station,8008_G_MICK,8008,G,MICK,3422.0,Combustion Turbine,,PJM_EMAC,New Jersey,34,Gloucester,15,34015,63.7,16633,1974,2023,,,N,Natural Gas,,,,H2O,SCR,,,,,,,,0.21,1.10989,1.10989,1.10989,1.10989,,,,,,,,,,,
Powerton,879_B_51,879,B,51,593.0,Coal Steam,,PJM_COMD,Illinois,17,Tazewell,179,17179,384.0,11380,1972,2027,cyclone,wet,N,Subbituminous,,,0.795,OFA,SNCR,,2011.0,ESPC,No,ACI,2009.0,,0.11,0.12027,0.09596,0.12027,0.09596,0.1,0.1,0.1,0.98,Yes,2016.0,,,,,
Powerton,879_B_52,879,B,52,594.0,Coal Steam,,PJM_COMD,Illinois,17,Tazewell,179,17179,384.0,11380,1972,2027,cyclone,wet,N,Subbituminous,,,0.795,OFA,SNCR,,2011.0,ESPC,No,ACI,2009.0,,0.11,0.3384,0.10745,0.3384,0.10745,0.1,0.1,0.1,0.98,Yes,2016.0,,,,,
Powerton,879_B_61,879,B,61,595.0,Coal Steam,,PJM_COMD,Illinois,17,Tazewell,179,17179,384.0,11525,1975,2027,cyclone,wet,N,Subbituminous,,,0.795,OFA,SNCR,,2011.0,ESPC,No,ACI,2009.0,,0.11,0.11105,0.08433,0.11105,0.08433,0.1,0.1,0.1,0.98,Yes,2016.0,,,,,
Powerton,879_B_62,879,B,62,596.0,Coal Steam,,PJM_COMD,Illinois,17,Tazewell,179,17179,384.0,11525,1975,2027,cyclone,wet,N,Subbituminous,,,0.795,OFA,SNCR,,2011.0,ESPC,No,ACI,2009.0,,0.11,0.11251,0.08331,0.11251,0.08331,0.1,0.1,0.1,0.98,Yes,2016.0,,,,,
Perry,6020_G_1,6020,G,1,,Nuclear,,PJM_ATSI,Ohio,39,Lake,85,39085,1240.0,10456,1987,2026,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
Morgantown Energy Facility,10743_G_GEN1,10743,G,GEN1,,Coal Steam,,PJM_AP,West Virginia,54,Monongalia,61,54061,0.0,10092,1991,9999,FBC,dry,Y,"Bituminous, Waste Coal",Reagent Injection,1992.0,0.946,CF,SNCR,,2016.0,B,,,,,0.4,0.34945,0.17472,0.34945,0.17472,0.01,0.01,0.01,0.98,Yes,1992.0,,,,,
Eddystone Generating Station,3161_B_3,3161,B,3,2152.0,O/G Steam,,PJM_EMAC,Pennsylvania,42,Delaware,45,42045,380.0,14500,1974,2025,tangential,dry,N,"Natural Gas, Distillate Fuel Oil",,,,OFA,,,,,,,,,1.0,0.06478,0.06478,0.06478,0.06478,,,,,,,,,,,
Eddystone Generating Station,3161_B_4,3161,B,4,2154.0,O/G Steam,,PJM_EMAC,Pennsylvania,42,Delaware,45,42045,380.0,14500,1976,2025,tangential,dry,N,"Natural Gas, Distillate Fuel Oil",,,,OFA,,,,,,,,,1.0,0.06384,0.06384,0.06384,0.06384,,,,,,,,,,,
