Time,Month,Day,Hour,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West
6173,9,258,6,5754.77028260396,8762.14457287945,11449.4269217534,13280.0969922522,17964.7202214328,2234.49373959646,8190.19184761781,7082.54631920754,24772.1045229835
6174,9,258,7,5939.87296224657,9199.14155880378,11982.3459553791,13790.288684647,18952.8113806833,2270.78036754321,8507.2202950319,7312.47555536558,26073.2475046356
6175,9,258,8,6179.13080143009,9463.60923683175,12516.8192302982,14296.6867885235,19896.7883983357,2324.22545669663,8913.5576607421,7442.46599712992,27577.0538226447
6176,9,258,9,6394.30591602314,9768.95625111938,13129.3887719935,14788.1468566214,20770.2554757683,2375.08447185074,9263.65163731862,7643.22428553372,29096.9022334382
6177,9,258,10,6618.77750998638,10157.1776885831,13643.5362592316,15167.2507273448,21562.9930810473,2404.03238990819,9468.75436595429,7863.86003913162,30744.356430179
6178,9,258,11,6821.04909326341,10218.9116070862,14078.7366211283,15526.8207150648,22310.2466263327,2376.99130951969,9858.33438750895,8002.8955814194,31761.1745827143
6179,9,258,12,6979.06464815484,10332.4366111516,14422.0548471627,15798.420358451,22895.8625291729,2431.17730623966,10161.3724258445,8103.23545333876,32648.2224950881
6180,9,258,13,7059.5488480074,10366.9548341796,14248.5044609945,15974.0690218167,23516.0460535,2425.28986026161,10453.701184591,8187.89114267298,32991.272715825
6181,9,258,14,7082.5706008629,10249.5924260505,14193.6124936974,15989.6178267783,23725.8875994114,2402.15193163333,10552.1153326761,8142.59302223981,32965.501760297
6182,9,258,15,6947.97789679895,10045.0108695609,13964.7417707011,15760.5494961783,23249.9993503709,2347.20415881536,10325.2886987497,7942.71731542893,32165.7553638654
6183,9,258,16,6821.96105948091,9746.51723782157,13509.6295239491,15644.0145516087,23378.7639190612,2345.53021700234,10247.2137468504,7857.55828616378,31184.6715216772
6184,9,258,17,6693.84421617703,9691.73439807816,13248.9362929523,15329.8694661571,22986.2195774844,2326.40366070295,10090.0296497638,7638.47844138228,30747.2213236323
6185,9,258,18,6345.69000399066,9127.42334031724,13465.3246743919,14674.7606764656,21875.7760348411,2219.51370096056,9600.40371066339,7230.19824033788,28904.4404347227
6186,9,258,19,5911.30183164598,8499.76677687318,13259.4490681742,13950.0597822258,20301.5221446068,2064.77166253719,8848.86803838581,6639.21188713138,26659.3972088943
6187,9,258,20,5513.90079639701,7847.19266657255,12739.2809732548,13199.3775541396,18616.4936943408,1940.2677202111,8088.29783069712,6130.83310782828,24388.0651411315
6188,9,258,21,5211.3241965993,7318.58913641782,11901.8548219522,12581.2854156554,17168.0608883524,1845.93897437906,7347.2473925905,5708.55663848416,22611.1304761101
6189,9,258,22,4981.62575839558,6981.91823262673,11031.4306534514,12152.8280461082,16006.0182236613,1769.17434614892,6834.08126808486,5431.27312343726,21337.891849754
6190,9,258,23,4830.29183883302,6733.33641115376,10333.5268186061,11846.1776955856,15142.5160621056,1747.0563710969,6471.42473866968,5268.34147846746,20574.6273056401
