Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
,,,,,,,,59,7184.914435,9294.563461,12005.38047,16211.75867,20056.21814,2534.239372,10013.57377,8493.808712,28673.16361
,,,,,,,,60,7125.951644,9213.598687,12000.29611,16039.22607,20312.96022,2508.933835,10138.61337,8422.560267,28008.39661
,,,,,,,,61,7133.9967,9183.515692,12017.4253,16021.88689,20950.33165,2527.408656,10200.58333,8529.931201,27759.72831
,,,,,,,,62,7334.321646,9331.194756,12038.89202,16497.80303,22136.63759,2593.726972,10696.55621,8899.43077,28224.84663
,,,,,,,,63,7694.29556,9765.212801,12105.92124,17398.63188,23647.01834,2709.146637,11402.58784,9352.504463,29540.85782
,,,,,,,,64,7781.917821,9838.219515,12568.6656,17784.15977,23982.73307,2708.885651,11670.55735,9362.414147,30249.35973
,,,,,,,,65,7738.985129,9748.420422,13031.48888,17866.78531,23959.42234,2646.291217,11686.85257,9256.507752,30128.32887
,,,,,,,,66,7617.722398,9565.864787,12998.99779,17844.06149,23688.15079,2595.607001,11678.75677,9106.607682,29646.45745
,,,,,,,,67,7468.886362,9163.416372,12815.55673,17563.3302,22979.06755,2523.406083,11354.75151,8806.731825,28897.48692
,,,,,,,,68,7179.202337,8867.28085,12590.70146,17168.3754,21952.1674,2417.926387,10870.06553,8380.553018,27817.33574
,,,,,,,,69,7004.577255,8485.606972,12232.88571,16851.89537,20930.70847,2342.10526,10383.09398,8030.045237,26839.71009
,,,,,,,,70,6866.151717,8174.074686,11789.59894,16681.6517,20332.29694,2276.884571,10080.83748,7861.640214,26167.3032
,,,,,,,,71,6763.131958,8055.109279,11171.91569,16527.66026,19505.72267,2251.959356,9827.150492,7748.149173,25828.1352
,,,,,,,,72,6738.110582,7899.285539,10748.3142,16438.58973,19076.4655,2241.697399,9682.041556,7741.773431,25630.84706
,,,,,,,,73,6665.141859,7855.3607,10399.89319,16437.71513,18840.45411,2215.899065,9616.979037,7799.179774,25685.86247
,,,,,,,,74,6734.836116,7985.49267,10135.6834,16619.70548,18961.06326,2249.596586,9749.933723,7929.789419,26028.67141
,,,,,,,,75,6949.663933,8261.124761,10114.33596,16965.82629,19667.13647,2371.64014,10140.61071,8352.763959,26942.71384
,,,,,,,,76,7290.610301,8722.755297,10266.51031,17357.70823,20969.10504,2558.01633,10819.80686,9018.961583,28460.01097
,,,,,,,,77,7500.858903,9161.657013,10852.1657,17626.16859,21687.24132,2647.383984,11008.06958,9363.164952,29443.44556
,,,,,,,,78,7452.485361,9224.188542,11790.60853,17336.32391,21465.07123,2646.892977,10790.75745,9297.642923,29687.98124
,,,,,,,,79,7447.09652,9320.571984,12279.32299,16705.84505,21153.16069,2651.035511,10519.77298,9238.786293,29777.41351
,,,,,,,,80,7423.943815,9404.124828,12298.11005,16105.96992,20876.25993,2649.753211,10016.89305,9251.936013,29874.85572
,,,,,,,,81,7392.273805,9465.787915,12327.37778,15616.93622,20749.24033,2632.351043,9696.29329,9169.01409,29712.22565
,,,,,,,,82,7335.477121,9461.767777,12292.67987,15226.55728,20453.40564,2620.328557,9601.663443,9101.800863,29514.77788
,,,,,,,,83,7232.77061,9481.202815,12201.77837,15007.08721,20236.4553,2604.505764,9779.299531,9087.222883,29279.65385
,,,,,,,,84,7209.534595,9402.905318,12140.79507,14903.67988,20478.86935,2567.867734,9771.808445,9019.36799,28892.94363
,,,,,,,,85,7181.775343,9347.432915,12135.70872,15062.35655,20922.58969,2522.666484,9930.904385,8932.893587,28675.91398
,,,,,,,,86,7216.978975,9377.052497,12078.27936,15377.94038,21889.00567,2532.727254,10274.75739,9102.045233,28872.57366
,,,,,,,,87,7433.392153,9657.043766,12130.88512,15900.39927,23247.13737,2610.803692,10811.38781,9417.693296,29661.53096
,,,,,,,,88,7421.059398,9823.151927,12669.33577,16037.50013,23515.09067,2649.451919,10823.94313,9287.03482,30013.24344
,,,,,,,,89,7333.915618,9723.188487,13492.10331,15966.08162,23390.7284,2610.681799,10707.14464,9136.08798,29601.80406
,,,,,,,,90,7214.597306,9541.009646,13525.28391,15702.70514,22930.36906,2572.684362,10420.39514,8841.926617,29083.94934
,,,,,,,,91,6910.823033,9229.236233,13445.85622,15272.10196,21967.54431,2481.535149,9975.622244,8438.52065,28163.6748
,,,,,,,,92,6619.586562,8752.158371,13201.40299,14748.14214,20575.00543,2348.378293,9320.061899,7956.760974,26802.40469
,,,,,,,,93,6342.142303,8364.341849,12679.013,14234.26494,19099.66213,2240.385928,8711.573086,7597.445743,25420.40708
,,,,,,,,94,6100.696332,8018.960054,11918.03181,13887.05318,17999.20236,2187.335672,8167.017722,7359.712634,24547.26635
,,,,,,,,95,6021.406573,7837.695203,11195.36631,13694.05796,17286.9405,2129.80842,7889.498803,7190.801725,24040.14289
,,,,,,,,96,5963.24167,7761.190677,10681.75186,13629.65304,16831.837,2105.244391,7802.229236,7159.062043,23704.78201
,,,,,,,,97,6001.668235,7706.478203,10332.03914,13663.71876,16652.46527,2106.230876,7854.476929,7174.203654,23623.36772
,,,,,,,,98,6041.664671,7836.04812,10116.58575,13911.82628,16800.40117,2134.846555,8079.096947,7356.634842,24043.52805
,,,,,,,,99,6310.853588,8154.916483,10092.47904,14395.38302,17553.66546,2238.471878,8558.491849,7779.781271,25244.41179
,,,,,,,,100,6622.3734,8739.915104,10312.23676,14856.36988,18782.50339,2422.358277,9222.575204,8458.983863,27133.07062
,,,,,,,,101,6871.238454,9195.050666,10894.7692,15341.48642,19569.73303,2508.641257,9545.612849,8761.561887,28254.95611
,,,,,,,,102,6795.040108,9155.197793,11861.91697,15137.41625,19503.16825,2469.901722,9471.033291,8665.51832,27941.87046
,,,,,,,,103,6661.615996,9130.325142,12360.0463,14530.50123,18833.38527,2496.808951,8937.754437,8378.560956,27604.68646
,,,,,,,,104,6566.220525,9220.363521,12374.21247,14047.07869,18242.75754,2489.594722,8641.259206,8111.030958,27367.21383
,,,,,,,,105,6482.275569,9209.515874,12432.02494,13763.95799,17863.84719,2462.360547,8488.563603,7870.636521,26910.86534
,,,,,,,,106,6341.287561,9087.129936,12437.59109,13533.31584,17563.15872,2422.914789,8313.069532,7719.332051,26447.78836
,,,,,,,,107,6246.959573,9088.693549,12325.62998,13306.20853,17525.73414,2400.995565,8076.414178,7635.695513,25959.09112
,,,,,,,,108,6124.049161,8941.182387,12216.0919,13122.52949,17621.22392,2365.81673,7987.189782,7463.526035,25347.4215
,,,,,,,,109,6096.487706,8927.89169,12192.03403,13211.18793,18125.96871,2334.168837,8126.638722,7448.681906,24961.83154
,,,,,,,,110,6260.29578,8987.183935,12175.48099,13535.2205,19173.23955,2344.536384,8532.784139,7689.829325,25332.3839
,,,,,,,,111,6652.035497,9371.322932,12287.41163,14307.21658,20864.85897,2495.862479,9264.658906,8223.380035,26701.13256
,,,,,,,,112,6844.304865,9655.949315,12847.9374,14821.78855,21499.8856,2540.665826,9644.873224,8326.505001,27853.67677
,,,,,,,,113,6906.43492,9614.667213,13482.57889,15030.22048,21749.35277,2528.875262,9815.196893,8307.679956,27947.1289
,,,,,,,,114,6863.733515,9526.897317,13487.40256,15059.42481,21600.86516,2518.035223,9760.499772,8204.924915,27831.87476
,,,,,,,,115,6729.124199,9290.307731,13348.69971,14832.5626,20979.54429,2429.971572,9516.208543,7970.871599,27163.0158
,,,,,,,,116,6477.915401,8841.845107,13088.46512,14490.93983,19798.62412,2300.003428,9036.327621,7580.524483,26041.04109
,,,,,,,,117,6301.350083,8448.717647,12584.21711,14240.88405,18554.92771,2219.602396,8531.553704,7285.72032,24857.8807
,,,,,,,,118,6189.576659,8184.25835,11827.70858,14034.64383,17597.64498,2257.200993,8125.975517,7097.236093,23775.87496
,,,,,,,,119,6132.059113,8000.00699,11124.51544,13973.21207,17008.04131,2243.997359,7893.746656,7032.48677,23352.10332
,,,,,,,,120,6100.138251,7904.766046,10607.59575,13938.38103,16702.34547,2222.627377,7749.192183,7044.13854,23063.71459
,,,,,,,,121,6103.180127,7805.616979,10289.65107,14007.07012,16548.12599,2236.450514,7731.054844,7106.047983,23107.36913
,,,,,,,,122,6298.989005,7918.279537,10075.66616,14200.00485,16716.12304,2279.511428,7903.389254,7316.918215,23482.82225
,,,,,,,,123,6520.324749,8261.333388,9972.435363,14651.94719,17512.59481,2397.493955,8460.833197,7799.502168,24554.62184
,,,,,,,,124,6886.508413,8826.580083,10157.15204,15285.59211,18993.5561,2598.877361,9237.686177,8576.590527,26486.67886
,,,,,,,,125,7101.948179,9195.603194,10682.88318,15436.16661,19754.88763,2689.08443,9548.596742,8905.840543,27500.71236
,,,,,,,,126,6971.928032,9165.630094,11591.98857,15107.76782,19476.34816,2658.909777,9343.574925,8759.218319,27249.40731
,,,,,,,,127,6851.448731,9169.61465,12086.28511,14608.66091,18739.70754,2627.705278,9010.48044,8371.992361,26857.13524
,,,,,,,,128,6607.403495,9160.865776,12115.95184,14216.47628,18115.76353,2567.794619,8783.019648,8091.804004,26443.10576
,,,,,,,,129,6490.511194,9076.795776,12175.3626,13926.88616,17680.99235,2497.936106,8685.260684,7954.697542,25645.20104
,,,,,,,,130,6344.763946,8979.507949,12259.20582,13724.73553,17418.14339,2450.227799,8602.736942,7836.473104,25025.24561
,,,,,,,,131,6222.27611,8846.377605,12234.16234,13642.11475,17463.85082,2427.988458,8557.167454,7794.945466,24591.8862
,,,,,,,,132,6094.568513,8680.329126,12193.35665,13601.44352,17826.23248,2386.928381,8542.952578,7738.122602,24060.38161
,,,,,,,,133,6060.257737,8605.283893,12176.15232,13720.68794,18439.61187,2363.534146,8701.269715,7705.196183,23838.45292
,,,,,,,,134,6103.763195,8731.971224,12172.02107,14053.94071,19476.0573,2434.16709,9002.471842,7908.897413,24076.80656
,,,,,,,,135,6525.482493,9081.156153,12217.37556,14694.39576,20894.57211,2538.89941,9584.654048,8280.139122,25141.89229
,,,,,,,,136,6670.268448,9299.4363,12632.42574,14943.74454,21326.91725,2571.529456,9733.272871,8312.08148,25835.47396
,,,,,,,,137,6663.294657,9210.795874,13007.33995,14950.37238,21380.31966,2563.046757,9745.506764,8239.964395,25899.246
,,,,,,,,138,6638.919758,9121.175963,12880.98249,14852.5464,21057.72512,2503.551752,9567.849915,8066.991966,25591.40681
,,,,,,,,139,6410.29062,8794.903451,12671.63316,14522.45648,20205.46555,2429.408702,9224.27768,7717.22276,24769.52223
,,,,,,,,140,6142.415197,8269.312673,12339.69793,14013.01544,18873.937,2293.172507,8610.644128,7243.414342,23509.26011
,,,,,,,,141,5889.214403,7795.508495,11772.97171,13494.61297,17407.64862,2170.830943,7963.363797,6844.285207,22237.37142
,,,,,,,,142,5669.73602,7446.265672,11002.65667,13103.2322,16354.77735,2036.923827,7483.017757,6548.365014,21214.19021
,,,,,,,,143,5564.00523,7230.893645,10269.97602,12867.9097,15635.44295,1997.230594,7177.060662,6386.476978,20554.65601
,,,,,,,,144,5505.742639,7066.48762,9738.169871,12744.31398,15168.69659,1986.561378,6952.476398,6316.048221,20308.40761
,,,,,,,,145,5485.449301,6949.82913,9346.87836,12672.0897,14890.67187,1983.212959,6898.784043,6302.160512,20358.09066
,,,,,,,,146,5579.898874,7113.84155,9111.031004,12851.99954,15022.76848,2008.16242,7036.006644,6438.81081,20644.41725
,,,,,,,,147,5824.523814,7382.97953,9027.726464,13292.11148,15682.84758,2131.72119,7445.891071,6874.960319,21669.68203
,,,,,,,,148,6186.581188,7947.304075,9173.2931,13961.98576,17015.89294,2274.007623,8132.764911,7556.879126,23784.34947
,,,,,,,,149,6341.092989,8372.847949,9731.906296,14258.34856,17808.14023,2390.225008,8432.773141,7822.882682,24817.52171
,,,,,,,,150,6295.159214,8316.802193,10590.87886,13952.20276,17724.76144,2370.462128,8321.79228,7764.078471,24566.87969
,,,,,,,,151,6239.124629,8246.647962,11192.49161,13563.43719,17563.00724,2369.262281,8067.893154,7639.117498,24412.33922
,,,,,,,,152,6116.326591,8284.961142,11268.15823,13205.7529,17339.90677,2340.110325,7753.802805,7519.763868,24209.7045
,,,,,,,,153,5994.770315,8243.492008,11366.89028,12948.61653,17194.03145,2305.606848,7626.076329,7411.589449,23937.70277
,,,,,,,,154,5851.196412,8216.231397,11448.62791,12746.70347,16859.26483,2272.855071,7489.813334,7274.142779,23636.29896
,,,,,,,,155,5737.815317,8258.1267,11476.93319,12636.41418,16676.42749,2250.724215,7433.103494,7247.054718,23661.9342
,,,,,,,,156,5627.010894,8169.919899,11501.88884,12623.83811,16724.71395,2220.590764,7391.59676,7123.258625,23406.80379
,,,,,,,,157,5592.866429,8192.435879,11565.64811,12668.01544,17064.69679,2159.204982,7528.702906,7040.792435,23188.08596
,,,,,,,,158,5695.405844,8315.929026,11561.32077,12911.27691,17912.48244,2190.605931,7846.430437,7183.968143,23501.10775
,,,,,,,,159,5965.562511,8581.745091,11697.03163,13413.60211,19355.25485,2288.070728,8471.596384,7531.195519,24221.7835
,,,,,,,,160,6091.50688,8758.241733,12195.56348,13597.81914,19802.15472,2295.247994,8656.86,7564.384541,24817.18686
,,,,,,,,161,6080.33979,8709.296638,12631.62367,13603.98094,19901.63036,2294.240893,8657.882409,7474.385388,24693.03015
,,,,,,,,162,5971.434486,8610.53715,12730.71384,13434.33379,19631.11552,2246.695107,8499.267027,7314.67765,24515.3444
,,,,,,,,163,5771.71844,8316.195997,12701.30481,13081.95877,18885.24731,2153.731903,8145.654248,6955.90602,23639.54736
,,,,,,,,164,5480.928424,7925.321087,12594.73803,12551.89073,17609.36015,2055.14402,7602.496012,6474.879231,22354.08089
,,,,,,,,165,5221.038052,7499.287723,12227.53403,12023.65172,16250.14495,1939.953491,7005.111074,6098.632041,21097.27549
,,,,,,,,166,4993.862536,7101.236667,11563.99936,11617.16432,15141.0823,1873.445024,6486.549867,5803.067903,20169.16806
,,,,,,,,167,4902.818786,6869.26784,10935.14739,11363.75775,14351.40484,1834.153714,6159.479359,5570.670646,19469.56891
,,,,,,,,168,4815.253969,6689.943558,10521.07033,11182.95478,13849.41539,1815.598085,5940.035745,5448.497791,19070.08021
,,,,,,,,169,4764.004982,6638.97208,10251.42631,11075.64534,13552.57451,1789.991821,5857.607007,5433.739306,18978.34726
,,,,,,,,170,4839.265007,6749.843685,10133.85861,11118.38105,13525.81771,1818.16823,5893.125556,5503.319097,19245.0406
,,,,,,,,171,5001.007312,7052.807814,10088.68216,11409.17271,14082.71399,1892.64699,6260.481303,5822.77994,20373.24329
,,,,,,,,172,5336.488022,7599.150428,10296.74449,12024.66386,15370.37173,2085.142731,6862.117218,6489.214618,22322.14901
,,,,,,,,173,5516.63352,8107.468721,10924.08547,12370.69,16281.47725,2180.573027,7272.963568,6812.489148,23692.89726
,,,,,,,,174,5492.2015,8186.838067,11885.6217,12390.24843,16468.74699,2187.744352,7341.34275,6817.213786,24124.67558
,,,,,,,,175,5503.111947,8372.899671,12506.94434,12380.19088,16627.8893,2210.765728,7380.383102,6805.428154,24502.3976
,,,,,,,,176,5509.999373,8598.60179,12715.14825,12387.86731,16845.11804,2230.210051,7460.016127,6852.206628,25010.15407
,,,,,,,,177,5536.523691,8762.390162,12867.67375,12366.60206,17006.05632,2223.514874,7496.309823,6809.933496,25265.03733
,,,,,,,,178,5478.323052,8885.272383,13017.53519,12324.24277,16988.32316,2188.479603,7405.491917,6771.657978,25453.31635
,,,,,,,,179,5458.918182,8979.8198,13037.90053,12360.13449,17011.75256,2172.293124,7378.948394,6674.853083,25698.96981
,,,,,,,,180,5452.561121,9074.274965,13061.83055,12360.38394,16909.56248,2145.479098,7399.399384,6591.769059,25798.65734
,,,,,,,,181,5475.916676,9074.971802,13138.76566,12425.91974,17013.06631,2110.774986,7521.314306,6509.832702,25860.65401
,,,,,,,,182,5647.190178,9171.066226,13131.09257,12631.07073,17719.43787,2152.946949,7782.575861,6671.209699,26339.09848
,,,,,,,,183,5855.243401,9506.738986,13164.68998,13024.06304,18649.35879,2208.732641,8215.492296,6860.595286,27475.98456
,,,,,,,,184,5931.314645,9657.090571,13548.91582,13143.76767,18831.65336,2218.090253,8280.750895,6789.32239,28001.7783
,,,,,,,,185,5930.114914,9581.052549,14107.73294,13048.76775,18729.80174,2202.147962,8223.723275,6684.345329,27963.31759
,,,,,,,,186,5868.50007,9412.396356,14118.15986,12891.2922,18342.16996,2181.937416,8054.172728,6484.533742,27702.51475
,,,,,,,,187,5801.243491,9230.132662,13969.66282,12613.23278,17717.28457,2122.429003,7775.03598,6240.167117,27294.27865
