Resource,Zone,Num_VRE_Bins,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
PJM_AP_PA_WindClass 1_7,1,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_AP_PA_WindClass 4_6,1,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_AP_PA_WindClass 7_5,1,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_AP_PA_WindClass 8_4,1,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_AP_VA_WindClass 7_5,1,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_AP_WV_WindClass 4_6,1,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_AP_WV_WindClass 7_5,1,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_AP_WV_WindClass 8_4,1,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_AP,1
PJM_ATSI_OH_WindClass 5_6,2,1,0,0,0,1375,0,97200,43205,0.1,0,0,0,0,PJM_ATSI,1
PJM_ATSI_OH_WindClass 6_5,2,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_ATSI,1
PJM_ATSI_OH_WindClass 8_4,2,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_ATSI,1
PJM_ATSI_PA_WindClass 5_6,2,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_ATSI,1
PJM_ATSI_PA_WindClass 7_5,2,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_ATSI,1
PJM_ATSI_PA_WindClass 8_4,2,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_ATSI,1
PJM_COMD_IL_WindClass 5_6,3,1,0,0,0,15520.29389,0,97200,43205,0.1,0,0,0,0,PJM_COMD,1
PJM_COMD_IL_WindClass 6_5,3,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_COMD,1
PJM_COMD_IL_WindClass 8_4,3,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_COMD,1
PJM_Dom_NC_WindClass 5_6,4,1,0,0,0,86.04629818,0,97200,43205,0.1,0,0,0,0,PJM_Dom,1
PJM_Dom_NC_WindClass 6_5,4,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_Dom,1
PJM_Dom_VA_WindClass 5_6,4,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_Dom,1
PJM_Dom_VA_WindClass 7_5,4,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_Dom,1
PJM_Dom_VA_WindClass 8_4,4,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_Dom,1
PJM_EMAC_DE_WindClass 4_6,5,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_DE_WindClass 6_5,5,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_MD_WindClass 5_6,5,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_MD_WindClass 6_5,5,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_NJ_WindClass 5_6,5,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_NJ_WindClass 7_5,5,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_NJ_WindClass 8_4,5,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_PA_WindClass 5_6,5,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_PA_WindClass 6_5,5,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_EMAC_VA_WindClass 4_6,5,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_EMAC,1
PJM_PENE_PA_WindClass 1_7,6,1,0,0,0,3246.138091,0,97200,43205,0.1,0,0,0,0,PJM_PENE,1
PJM_PENE_PA_WindClass 1_8,6,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_PENE,1
PJM_PENE_PA_WindClass 4_6,6,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_PENE,1
PJM_PENE_PA_WindClass 6_5,6,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_PENE,1
PJM_PENE_PA_WindClass 8_4,6,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_PENE,1
PJM_SMAC_MD_WindClass 5_6,7,1,0,0,0,20.67929983,0,97200,43205,0.1,0,0,0,0,PJM_SMAC,1
PJM_SMAC_MD_WindClass 7_5,7,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_SMAC,1
PJM_SMAC_MD_WindClass 8_4,7,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_SMAC,1
PJM_WMAC_PA_WindClass 1_7,8,1,0,0,0,391.9986124,0,97200,43205,0.1,0,0,0,0,PJM_WMAC,1
PJM_WMAC_PA_WindClass 4_6,8,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_WMAC,1
PJM_WMAC_PA_WindClass 7_5,8,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_WMAC,1
PJM_WMAC_PA_WindClass 8_4,8,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_WMAC,1
PJM_West_IN_WindClass 5_6,9,1,0,0,0,2867.938209,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_IN_WindClass 6_5,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_IN_WindClass 8_4,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
PJM_West_KY_WindClass 7_5,9,1,0,0,0,-1,0,97200,43205,0.1,0,0,0,0,PJM_West,1
