Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,region,cluster
1557_G_GT3,7,1,1,0,14.8,-1,0,65400,16291,4.5,18.086,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1557_G_GT4,7,1,1,0,14.8,-1,0,65400,16291,4.5,18.086,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1563_G_CRIS,5,1,1,0,2.6,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
1563_G_CRS2,5,1,1,0,2.6,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
1563_G_CRS3,5,1,1,0,2.6,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
1563_G_CRS4,5,1,1,0,2.6,-1,0,65400,16291,4.5,10.745,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
1571_G_GT2,7,1,1,0,24,-1,0,65400,16291,4.5,14.549,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1571_G_GT3,7,1,1,0,86,-1,0,65400,16291,4.5,14.549,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1571_G_GT4,7,1,1,0,86,-1,0,65400,16291,4.5,14.549,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1571_G_GT5,7,1,1,0,109,-1,0,65400,16291,4.5,14.549,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1571_G_GT6,7,1,1,0,109,-1,0,65400,16291,4.5,14.549,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1572_G_GT2,7,1,1,0,147,-1,0,65400,16291,4.5,12.819,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1572_G_GT3,7,1,1,0,147,-1,0,65400,16291,4.5,12.819,Natural Gas,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_SMAC,1
1580_G_10,5,1,1,0,3.5,-1,0,65400,16291,4.5,13.503,Distillate Fuel Oil,250,91,2,6,6,0.64,0.64,0.474,0.25,0.5,0,0,PJM_EMAC,1
